Word,Count
115761883,1
192650080.051773,1
150,1
529130923,1
93486019,1
838569590,1
America's Sweethearts,1
93607673,1
148349953.775928,1
574879303,1
98946512,1
887550213,1
My Big Fat Greek Wedding,1
227898505,1
351850145.934253,1
152,2
495065519,1
82100406,1
736440642,1
How to Lose a Guy in 10 Days,1
105807520,1
157395243.59245,1
153,1
651589511,1
104925831,1
941184704,1
50 First Dates,1
120776832,1
174455397.08201,1
154,1
440435727,1
68710713,1
616335096,1
Hitch,1
177784257,1
248786986.132448,1
155,1
342785466,1
52333650,1
469432841,1
The Break-Up,1
118703275,1
162560029.949619,1
156,1
733929251,1
105730830,1
948405545,1
Knocked Up,1
148761765,1
192234445.783095,1
157,1
330849160,1
38856854,1
348545980,1
What Happens in Vegas...,1
80277646,1
84571624.1116135,1
158,2
642370662,1
75508553,1
677311720,1
The Proposal,1
163958031,1
172876350.919686,1
159,1
517406269,1
59285340,1
531789500,1
Valentine's Day,1
110485654,1
113557013.546415,1
160,2
577791604,1
69473969,1
623181502,1
Just Go With It,1
103028109,1
111121745.747693,1
161,1
340203356,1
42739101,1
383369736,1
Think Like a Man,1
91547205,1
103163085.235373,1
162,1
197247886,1
24261722,1
217627646,1
Warm Bodies,1
66380662,1
73239148.4843678,1
163,1
264693693,1
32398230,1
290612123,1
Think Like a Man Too,1
65028687,1
71396203.5543193,1
164,1
74106836,1
8790834,1
78853781,1
Focus,1
53862963,1
57313178.0772978,1
165,1
137209258,1
15669133,1
140552123,1
How to be Single,1
46843513,1
47984773.7455741,1
85994969,1
9586948,1
85994924,1
The Big Sick,1
42872467,1
42872444.56542,1
167,1
241016524,1
26869172,1
241016473,1
Crazy Rich Asians,1
174519335,1
174519298.071054,1
168,1
Musical,23
2562599,1
579772,1
5200555,1
Evita,1
2278112,1
4623215.24052729,1
169,1
114425007,1
24929194,1
223614870,1
Anastasia,1
53147865,1
103864122.313338,1
170,1
67210342,1
14330561,1
128545132,1
Grease,1
28350476,1
54222543.3056542,1
171,1
23577029,1
4641144,1
41631062,1
The King and I,1
12064440,1
21302745.5509886,1
172,1
93372793,1
17323334,1
155390306,1
Fantasia 2000 (Theatrical Release),1
67320333,1
112033996.293673,1
173,1
69839373,1
12339107,1
110681790,1
Moulin Rouge,1
57065562,1
90437790.0058751,1
57571456,1
